Cód. IBGE,Núcleo Regional de Saúde (NRS),Município,Crianças 6 meses a 2 anos - D1,Crianças 3 a 4 anos - D1,Crianças 5 a 11 anos - D1,Adolescentes 12 a 17 anos - D1,Pessoas 18 a 19 anos - D1,Pessoas 20 a 29 anos - D1,Pessoas 30 a 39 anos - D1,Pessoas 40 a 49 anos - D1,Pessoas 50 a 59 anos - D1,Idosos 60 a 69 anos - D1,Idosos 70 a 79 anos - D1,Idosos 80 anos + - D1,Total de Doses Aplicadas - D1,Crianças 6 meses a 2 anos - D2,Crianças 3 a 4 anos - D2,Crianças 5 a 11 anos - D2,Adolescentes 12 a 17 anos - D2,Pessoas 18 a 19 anos - D2,Pessoas 20 a 29 anos - D2,Pessoas 30 a 39 anos - D2,Pessoas 40 a 49 anos - D2,Pessoas 50 a 59 anos - D2,Idosos 60 a 69 anos - D2,Idosos 70 a 79 anos - D2,Idosos 80 anos + - D2,Total de Doses Aplicadas - D2,Crianças 6 meses a 2 anos - 3ª Dose/Ref,Crianças 3 a 4 anos - 3ª Dose,Crianças 3 a 4 anos - Reforço,Crianças 5 a 11 anos - Reforço,Adolescentes 12 a 17 anos - Reforço,Pessoas 18 a 19 anos - Reforço,Pessoas 20 a 29 anos - Reforço,Pessoas 30 a 39 anos - Reforço,Pessoas 40 a 49 anos - Reforço,Pessoas 50 a 59 anos - Reforço,Idosos 60 a 69 anos - Reforço,Idosos 70 a 79 anos - Reforço,Idosos 80 anos + - Reforço,Total de Doses Aplicadas - D3,Pessoas 18 a 19 anos - 2º Reforço,Pessoas 20 a 29 anos - 2º Reforço,Pessoas 30 a 39 anos - 2º Reforço,Pessoas 40 a 49 anos - 2º Reforço,Pessoas 50 a 59 anos - 2º Reforço,Idosos 60 a 69 anos - 2º Reforço,Idosos 70 a 79 anos - 2º Reforço,Idosos 80 anos + - 2º Reforço,Total de Doses Aplicadas - 2º Reforço,Adolescentes 12 a 17 anos - Ref Bivalente,Pessoas 18 a 19 anos - Ref Bivalente,Pessoas 20 a 29 anos - Ref Bivalente,Pessoas 30 a 39 anos - Ref Bivalente,Pessoas 40 a 49 anos - Ref Bivalente,Pessoas 50 a 59 anos - Ref Bivalente,Idosos 60 a 69 anos - Ref Bivalente,Idosos 70 a 79 anos - Ref Bivalente,Idosos 80 anos + - Ref Bivalente,Total de Doses Aplicadas - REF
293150,Centro-Leste,Teofilândia,0,0,221,500,1636,3832,3876,2737,3431,2251,1912,839,21014,0,0,0,660,497,1758,2420,2379,1903,1413,1028,500,12558,0,0,0,0,0,27,252,403,586,683,624,578,262,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293160,Sul,Teolândia,123,142,1035,1032,473,2253,2210,1174,1247,768,378,222,9757,69,54,563,873,306,1586,1419,998,811,683,329,184,7189,17,11,1,26,407,136,743,844,685,522,452,210,101,4100,14,148,198,310,363,291,156,53,1533,2,8,51,58,61,66,249,128,77,700
293170,Centro-Leste,Terra Nova,115,205,1020,859,489,2224,1839,1767,1310,858,511,331,10188,66,90,873,914,403,1466,1639,1751,1323,817,508,287,9108,14,0,10,59,646,398,1076,471,1449,1175,809,479,275,6778,80,474,580,813,872,689,489,395,4392,6,43,154,191,218,334,476,341,192,1955
293180,Sudoeste,Tremedal,0,156,1164,756,300,1432,1705,1740,1949,1513,1107,690,11192,0,56,928,67,55,1329,1392,1481,1814,1379,1042,587,9146,0,0,0,0,594,246,1250,1586,1786,1753,1448,776,420,9859,22,213,537,911,1126,1001,713,428,4951,0,0,0,0,0,0,0,0,0,0
293190,Centro-Leste,Tucano,100,267,4122,4595,1667,7178,7278,6883,5703,3903,2685,1540,41432,100,101,2875,3791,1789,7535,7899,7477,5927,4313,2466,1633,42830,0,0,0,70,1487,922,4088,5119,5832,5232,3659,2297,1196,29832,83,340,681,1176,1443,1351,1034,666,6774,18,23,118,150,180,238,577,589,352,2245
293200,Norte,Uauá,243,376,2379,2383,840,3696,3652,3329,2646,2062,1501,990,21099,161,318,2336,2265,745,3636,3679,3222,2559,2046,1499,964,20615,29,0,0,349,1419,525,2300,3553,2837,2774,1985,1377,1006,17776,170,1051,1585,2100,2092,1715,1147,801,10661,0,0,0,0,0,262,1034,756,476,2528
293210,Leste,Ubaíra,13,88,1151,1642,795,2766,3001,2159,1363,1623,884,654,14887,13,50,721,1262,523,2568,2516,2086,1355,1622,881,651,13464,2,0,2,30,293,345,1043,1253,995,921,1126,766,655,7397,30,93,139,435,437,348,300,83,1865,0,4,58,82,95,76,211,92,91,709
293220,Sul,Ubaitaba,69,108,1178,1587,765,2395,2454,1956,1435,1483,926,427,13428,15,43,804,1393,526,2004,2129,1820,1458,1426,820,419,11995,6,0,0,0,398,195,1022,1184,1335,1156,1152,731,370,7543,27,147,269,547,548,657,415,226,2836,0,0,5,10,10,75,139,103,28,370
293230,Sul,Ubatã,105,191,1408,1790,768,2100,2393,2852,1599,1780,969,647,14898,18,61,684,1214,636,1565,2033,1803,1575,1680,908,598,12012,4,1,10,144,411,161,723,1027,999,895,1078,633,391,6318,9,61,132,414,556,531,326,169,2198,3,53,200,260,239,170,469,416,203,2013
293240,Centro-norte,Uibaí,330,350,1642,1086,935,1339,2257,1990,1124,1403,1203,827,12164,100,300,1341,1080,1034,1480,2789,2439,1196,1405,1218,606,13247,20,0,100,0,1394,244,800,2255,2656,1132,1764,1443,913,12601,1208,1196,921,1580,1209,1601,1030,602,9347,0,100,216,250,250,150,314,1610,260,3150
293245,Centro-norte,Umburanas,190,125,1235,1283,402,1797,1730,1649,1131,1167,873,730,10762,63,63,947,1065,338,1485,1426,1296,1004,1079,789,702,9184,12,0,0,168,465,228,1230,1510,1263,1253,656,388,205,7198,56,307,504,618,535,396,250,113,2779,4,22,122,200,195,199,321,205,97,1365
293250,Sul,Una,134,232,1673,2063,923,2590,2806,2654,2135,1886,953,490,16500,75,150,1201,1603,852,2325,2546,2253,1964,1792,973,484,14792,40,11,110,173,882,480,1521,1940,2006,1916,1526,957,416,11644,141,561,859,1201,1070,1111,658,289,5890,22,89,233,366,406,477,808,770,251,3422
293260,Sudoeste,Urandi,97,168,1283,1381,436,1927,2342,2011,1773,1416,870,516,12672,46,107,1071,1264,414,1746,2184,1739,1687,1329,850,523,11736,15,0,9,75,782,275,1147,1681,1702,1560,1681,1192,749,10769,83,449,747,905,923,918,648,402,5075,0,2,15,33,43,63,431,389,273,1249
293270,Sul,Uruçuca,154,190,1710,1776,843,2998,3492,3112,2270,1851,983,439,17764,86,70,993,1320,563,2189,2556,2644,2106,1902,1017,425,14722,17,0,3,92,427,257,1231,1469,1796,1687,1337,774,385,9363,48,251,429,720,726,806,465,218,3663,1,11,65,90,104,116,338,240,105,1070
293280,Centro-Leste,Utinga,79,111,1260,1524,726,2521,2302,2275,1570,1964,973,500,14355,16,45,703,1182,436,1552,1682,1679,1571,2203,1051,764,12120,3,0,0,0,287,172,804,919,1130,966,810,543,242,5873,81,179,243,391,446,423,297,124,2184,0,16,80,99,126,134,199,160,90,904
293290,Sul,Valença,0,230,4405,7734,2845,14458,13004,11440,8855,6337,3165,1662,69500,0,66,2536,0,4250,10793,11115,8390,8114,5952,3034,1462,53110,0,0,0,0,1311,1082,5139,6355,6760,6040,5450,1886,1527,35550,72,458,885,2001,2237,2151,1211,526,9541,0,0,0,0,0,0,0,0,0,0
